Model,Transcript_nr,Timeframe_LP,Timeframe_EVAL,Split,Amount,Metric,Value,POS,Matchtype
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,CONJ,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.2222222222222222,CONJ,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.7586577965365212,CONJ,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,CONJ,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.2222222222222222,CONJ,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.7586577965365212,CONJ,Lemma
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,VERB,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.043010752688172046,VERB,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.7049183653379145,VERB,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,VERB,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.043478260869565216,VERB,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.9181923058855758,VERB,Lemma
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,ADV,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.225,ADV,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.8949457682048811,ADV,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,1.0,ADV,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.23076923076923078,ADV,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,0.893964940280271,ADV,Lemma
Lexical profile,1016,10,10 - 40,30,0,Recall,0.75,ngram,Exact
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.0003171247357293869,ngram,Exact
Lexical profile,1016,10,10 - 40,30,0,Cosine,,ngram,Exact
Lexical profile,1016,10,10 - 40,30,0,Recall,0.75,ngram,Lemma
Lexical profile,1016,10,10 - 40,30,0,Coverage,0.0003245699448231094,ngram,Lemma
Lexical profile,1016,10,10 - 40,30,0,Cosine,,ngram,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,0.2,NOUN,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.005649717514124294,NOUN,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.13381849060653783,NOUN,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,0.2,NOUN,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.006134969325153374,NOUN,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.128837166450604,NOUN,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,PRON,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.25,PRON,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.6824041302687983,PRON,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,PRON,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.25806451612903225,PRON,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.6821880582854487,PRON,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,0.8333333333333334,ADJ,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.07042253521126761,ADJ,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.537205625345722,ADJ,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,0.8333333333333334,ADJ,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.08333333333333333,ADJ,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.5582065953138584,ADJ,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,CONJ,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.2857142857142857,CONJ,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.8018686214432242,CONJ,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,CONJ,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.2857142857142857,CONJ,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.8018686214432242,CONJ,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,VERB,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.04519774011299435,VERB,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.6559733808809141,VERB,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,VERB,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.04950495049504951,VERB,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.9071405790685082,VERB,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,ADV,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.16981132075471697,ADV,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.8208319974258599,ADV,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,ADV,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.17307692307692307,ADV,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,0.820553511311239,ADV,Lemma
Lexical profile,1016,10,40 - 70,30,0,Recall,0.75,ngram,Exact
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.0002891008962127783,ngram,Exact
Lexical profile,1016,10,40 - 70,30,0,Cosine,,ngram,Exact
Lexical profile,1016,10,40 - 70,30,0,Recall,1.0,ngram,Lemma
Lexical profile,1016,10,40 - 70,30,0,Coverage,0.0003970617431010522,ngram,Lemma
Lexical profile,1016,10,40 - 70,30,0,Cosine,,ngram,Lemma
Lexical profile,1016,10,70 - 100,30,0,Recall,0.2,NOUN,Exact
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.0056179775280898875,NOUN,Exact
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.038910393105040526,NOUN,Exact
Lexical profile,1016,10,70 - 100,30,0,Recall,0.2,NOUN,Lemma
Lexical profile,1016,10,70 - 100,30,0,Coverage,0.005847953216374269,NOUN,Lemma
Lexical profile,1016,10,70 - 100,30,0,Cosine,0.037667126270414644,NOUN,Lemma
Lexical profile,1016,10,70 - 100,30,0,Recall,1.0,PRON,Exact
